feature_id	display_label	log2_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction	biologically_prioritized	experimentally_evaluated	candidate_highlight	candidate_highlight_reason	threshold_interpretation
hsa-miR-301a-5p	hsa-miR-301a-5p	0.032750009557021	0.933054423838087	0.977903786274147	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-130a-5p	hsa-miR-130a-5p	1.30758247136177	0.0506063549947381	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-345-5p	hsa-miR-345-5p	0.00613882805033406	0.985897399394944	0.993406854250312	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4502	hsa-miR-4502	0.332810802940831	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-191-3p	hsa-miR-191-3p	-0.0463399492771632	0.935842064969616	0.977903786274147	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-619-5p	hsa-miR-619-5p	0.663453336107344	0.584697843845918	0.86469399442002	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-612	hsa-miR-612	-0.281329139517312	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548q	hsa-miR-548q	0.0797624808948695	0.92379110809607	0.975835677566271	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-29b-1-5p	hsa-miR-29b-1-5p	-0.305016529507483	0.312478461597318	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3182	hsa-miR-3182	0.464853921493905	0.445064090408166	0.766731662034406	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-1180-5p	hsa-miR-1180-5p	0.332810802940831	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-539-5p	hsa-miR-539-5p	-0.253576370467095	0.730641241699229	0.928601883882091	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3928-3p	hsa-miR-3928-3p	-1.22152983775098	0.219094199096477	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4454	hsa-miR-4454	0.40327469875462	0.46295672999668	0.786106388453417	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-145-3p	hsa-miR-145-3p	0.686009687785934	0.0116037191595936	0.753091701676768	TRUE	FALSE	up	FALSE	FALSE	FALSE		nominal P < 0.05 exploratory miRNA screen
hsa-miR-10396b-3p	hsa-miR-10396b-3p	0.794997369888679	0.210822520995115	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-10396a-3p	hsa-miR-10396a-3p	1.61346377037116	0.110551037918094	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-1273c	hsa-miR-1273c	0.67714657410482	0.0293023114536198	0.753091701676768	TRUE	FALSE	up	FALSE	FALSE	FALSE		nominal P < 0.05 exploratory miRNA screen
hsa-miR-3960	hsa-miR-3960	-0.167279026403235	0.713516550405358	0.916516159024411	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-10396a-5p	hsa-miR-10396a-5p	1.89592961928745	0.0328064004621722	0.753091701676768	TRUE	FALSE	up	FALSE	FALSE	FALSE		nominal P < 0.05 exploratory miRNA screen
hsa-miR-4448	hsa-miR-4448	0.185637884779747	0.812332258759171	0.955943601815913	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3135b	hsa-miR-3135b	0.0941021577865717	0.653065000666322	0.916516159024411	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-103a-1-5p	hsa-miR-103a-1-5p	-0.825236965578932	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4516	hsa-miR-4516	0.0115180557349532	0.97859687144384	0.991151985102451	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
